mag_x (uT),mag_y (uT),mag_z (uT)
3.251443786154169402e+01,-3.594903776490709912e+00,3.772060641993022756e+01
3.253766317264655328e+01,-3.606532233907280727e+00,3.770864228767138115e+01
3.251819185047609295e+01,-3.616819960711746607e+00,3.770598119308049689e+01
3.252448374328306357e+01,-3.627250233267591106e+00,3.771655342854504767e+01
3.251161375713317625e+01,-3.620568785379005838e+00,3.769212016336157234e+01
3.251624365691731100e+01,-3.609904185123523401e+00,3.769977094594197808e+01
3.254418402711242919e+01,-3.604729291630467625e+00,3.768333985209839909e+01
3.252536101915308109e+01,-3.605922686224828588e+00,3.770619312210001084e+01
3.253314181247828429e+01,-3.605523945081538173e+00,3.770718746469281513e+01
3.253127006189497195e+01,-3.610370844402241097e+00,3.770912210826172384e+01
3.251690094447505430e+01,-3.617580166181217916e+00,3.769866750589408610e+01
3.251236822134399063e+01,-3.610238340659078560e+00,3.770860456776988912e+01
3.253935151406128767e+01,-3.599123069253279183e+00,3.769954097271610038e+01
3.251690343878282619e+01,-3.614133766081284893e+00,3.770904501340067583e+01
3.252861303775669910e+01,-3.620453238758593706e+00,3.770196542814297658e+01
3.252237929972425690e+01,-3.629152364247267393e+00,3.770122202329788053e+01
3.251281247460400436e+01,-3.617732828024562419e+00,3.770765262481856439e+01
3.250752246511120802e+01,-3.627240141924231942e+00,3.769252067949665275e+01
3.252563582547985277e+01,-3.609413136904861208e+00,3.770914685023057444e+01
3.251156483241398831e+01,-3.629589028773301695e+00,3.769030777438059232e+01
3.250957074744801645e+01,-3.607764187888709007e+00,3.769912133258581832e+01
3.250364615336458485e+01,-3.601528140106252884e+00,3.771146438528459299e+01
3.251547253129191972e+01,-3.613545078586271053e+00,3.770373892213592626e+01
3.251209681047033939e+01,-3.618811287146811217e+00,3.772226979689069282e+01
3.251787273788738020e+01,-3.594935345088734913e+00,3.771244760528332307e+01
3.252692118845303071e+01,-3.616154092359029182e+00,3.769694934088920490e+01
3.252351800792470726e+01,-3.621729844730360082e+00,3.769761971523353594e+01
3.251543796639513317e+01,-3.608437154647746503e+00,3.770805676853675692e+01
3.252682621419258879e+01,-3.613909809025876552e+00,3.768006951801626769e+01
3.251201585803797656e+01,-3.608572512826861090e+00,3.768392040174493474e+01
3.252887422135843565e+01,-3.605235499563383517e+00,3.769945322447122038e+01
3.252283839072759974e+01,-3.625013955136747956e+00,3.770625401636911533e+01
3.252031683135253104e+01,-3.615685268060295332e+00,3.770399886373252230e+01
3.251253725706855846e+01,-3.625591107730338436e+00,3.770867414576656529e+01
3.251621242570815440e+01,-3.623455243832679251e+00,3.770684857946383772e+01
3.250796304243709756e+01,-3.621222633423459847e+00,3.770176283057375599e+01
3.252636760674491967e+01,-3.611267009508545289e+00,3.770885538233855527e+01
3.254082294181507251e+01,-3.600890401808282792e+00,3.769321082272076495e+01
3.251677696613935353e+01,-3.603989974788217587e+00,3.769120895200452281e+01
3.251979942370808629e+01,-3.618247483340382598e+00,3.771082293189285650e+01
3.251954224889093581e+01,-3.608222207708711160e+00,3.770636901816182984e+01
3.252533949521372847e+01,-3.606258858082185714e+00,3.769485431669852460e+01
