ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.802162188992073411e+01,-1.689248618845167726e+01,3.770211419708795120e+01
2.799505267529418973e+01,-1.693648159082101756e+01,3.770211419708795120e+01
2.796841438565807181e+01,-1.698043520410563900e+01,3.770211419708795120e+01
2.794170708673971859e+01,-1.702434691985436999e+01,3.770211419708795120e+01
2.791493084443672856e+01,-1.706821662971941578e+01,3.770211419708795120e+01
2.788808572481682546e+01,-1.711204422545663206e+01,3.770211419708795120e+01
2.786117179411766642e+01,-1.715582959892578074e+01,3.770211419708795120e+01
2.783418911874670343e+01,-1.719957264209080350e+01,3.770211419708795120e+01
2.780713776528099856e+01,-1.724327324702009179e+01,3.770211419708795120e+01
2.778001780046709257e+01,-1.728693130588674620e+01,3.770211419708795120e+01
2.775282929122078812e+01,-1.733054671096884647e+01,3.770211419708795120e+01
2.772557230462703615e+01,-1.737411935464971435e+01,3.770211419708795120e+01
2.769824690793974398e+01,-1.741764912941818721e+01,3.770211419708795120e+01
2.767085316858160127e+01,-1.746113592786887381e+01,3.770211419708795120e+01
2.764339115414394854e+01,-1.750457964270241362e+01,3.770211419708795120e+01
2.761586093238657114e+01,-1.754798016672576466e+01,3.770211419708795120e+01
2.758826257123755354e+01,-1.759133739285244857e+01,3.770211419708795120e+01
2.756059613879310888e+01,-1.763465121410281711e+01,3.770211419708795120e+01
2.753286170331741189e+01,-1.767792152360432567e+01,3.770211419708795120e+01
2.750505933324242136e+01,-1.772114821459178557e+01,3.770211419708795120e+01
2.747718909716772018e+01,-1.776433118040763404e+01,3.770211419708795120e+01
2.744925106386035552e+01,-1.780747031450219353e+01,3.770211419708795120e+01
2.742124530225463985e+01,-1.785056551043393824e+01,3.770211419708795120e+01
2.739317188145199822e+01,-1.789361666186976407e+01,3.770211419708795120e+01
2.736503087072081897e+01,-1.793662366258522667e+01,3.770211419708795120e+01
2.733682233949624418e+01,-1.797958640646482564e+01,3.770211419708795120e+01
2.730854635738002045e+01,-1.802250478750227103e+01,3.770211419708795120e+01
2.728020299414031413e+01,-1.806537869980071065e+01,3.770211419708795120e+01
2.725179231971157634e+01,-1.810820803757304276e+01,3.770211419708795120e+01
2.722331440419430493e+01,-1.815099269514211855e+01,3.770211419708795120e+01
2.719476931785493079e+01,-1.819373256694105834e+01,3.770211419708795120e+01
2.716615713112561536e+01,-1.823642754751347539e+01,3.770211419708795120e+01
2.713747791460409076e+01,-1.827907753151374948e+01,3.770211419708795120e+01
2.710873173905346789e+01,-1.832168241370728268e+01,3.770211419708795120e+01
2.707991867540207664e+01,-1.836424208897076582e+01,3.770211419708795120e+01
2.705103879474329176e+01,-1.840675645229243074e+01,3.770211419708795120e+01
2.702209216833534455e+01,-1.844922539877231316e+01,3.770211419708795120e+01
2.699307886760115593e+01,-1.849164882362250140e+01,3.770211419708795120e+01
2.696399896412816588e+01,-1.853402662216742058e+01,3.770211419708795120e+01
2.693485252966814869e+01,-1.857635868984406358e+01,3.770211419708795120e+01
2.690563963613702470e+01,-1.861864492220226097e+01,3.770211419708795120e+01
2.687636035561470749e+01,-1.866088521490493690e+01,3.770211419708795120e+01
2.684701476034491563e+01,-1.870307946372836838e+01,3.770211419708795120e+01
2.681760292273498436e+01,-1.874522756456244466e+01,3.770211419708795120e+01
2.678812491535570217e+01,-1.878732941341090878e+01,3.770211419708795120e+01
2.675858081094112251e+01,-1.882938490639163831e+01,3.770211419708795120e+01
2.672897068238837903e+01,-1.887139393973689039e+01,3.770211419708795120e+01
2.669929460275752220e+01,-1.891335640979354338e+01,3.770211419708795120e+01
2.666955264527133806e+01,-1.895527221302337395e+01,3.770211419708795120e+01
2.663974488331514223e+01,-1.899714124600330933e+01,3.770211419708795120e+01
2.660987139043662708e+01,-1.903896340542567245e+01,3.770211419708795120e+01
2.657993224034565927e+01,-1.908073858809843770e+01,3.770211419708795120e+01
2.654992750691413050e+01,-1.912246669094550100e+01,3.770211419708795120e+01
2.651985726417572664e+01,-1.916414761100690356e+01,3.770211419708795120e+01
2.648972158632577845e+01,-1.920578124543913390e+01,3.770211419708795120e+01
2.645952054772108752e+01,-1.924736749151533388e+01,3.770211419708795120e+01
2.642925422287970250e+01,-1.928890624662556874e+01,3.770211419708795120e+01
2.639892268648078044e+01,-1.933039740827709352e+01,3.770211419708795120e+01
2.636852601336437374e+01,-1.937184087409459465e+01,3.770211419708795120e+01
2.633806427853124177e+01,-1.941323654182043512e+01,3.770211419708795120e+01
2.630753755714269460e+01,-1.945458430931492089e+01,3.770211419708795120e+01
2.627694592452037625e+01,-1.949588407455654959e+01,3.770211419708795120e+01
2.624628945614610487e+01,-1.953713573564224504e+01,3.770211419708795120e+01
2.621556822766167016e+01,-1.957833919078765206e+01,3.770211419708795120e+01
2.618478231486864161e+01,-1.961949433832732481e+01,3.770211419708795120e+01
2.615393179372820853e+01,-1.966060107671503943e+01,3.770211419708795120e+01
2.612301674036095633e+01,-1.970165930452399294e+01,3.770211419708795120e+01
2.609203723104671013e+01,-1.974266892044710175e+01,3.770211419708795120e+01
2.606099334222433228e+01,-1.978362982329720765e+01,3.770211419708795120e+01
2.602988515049153051e+01,-1.982454191200735849e+01,3.770211419708795120e+01
2.599871273260466609e+01,-1.986540508563103913e+01,3.770211419708795120e+01
2.596747616547859394e+01,-1.990621924334243431e+01,3.770211419708795120e+01
2.593617552618643529e+01,-1.994698428443666316e+01,3.770211419708795120e+01
2.590481089195940712e+01,-1.998770010833004562e+01,3.770211419708795120e+01
2.587338234018661964e+01,-2.002836661456032630e+01,3.770211419708795120e+01
2.584188994841490583e+01,-2.006898370278694443e+01,3.770211419708795120e+01
2.581033379434861530e+01,-2.010955127279128263e+01,3.770211419708795120e+01
2.577871395584941183e+01,-2.015006922447687998e+01,3.770211419708795120e+01
2.574703051093611350e+01,-2.019053745786972698e+01,3.770211419708795120e+01
2.571528353778445819e+01,-2.023095587311848220e+01,3.770211419708795120e+01
2.568347311472695793e+01,-2.027132437049471747e+01,3.770211419708795120e+01
2.565159932025266798e+01,-2.031164285039318074e+01,3.770211419708795120e+01
2.561966223300700918e+01,-2.035191121333203057e+01,3.770211419708795120e+01
2.558766193179155835e+01,-2.039212935995308840e+01,3.770211419708795120e+01
2.555559849556388841e+01,-2.043229719102206943e+01,3.770211419708795120e+01
2.552347200343733391e+01,-2.047241460742884911e+01,3.770211419708795120e+01
2.549128253468083116e+01,-2.051248151018768340e+01,3.770211419708795120e+01
2.545903016871868374e+01,-2.055249780043748231e+01,3.770211419708795120e+01
2.542671498513040618e+01,-2.059246337944201599e+01,3.770211419708795120e+01
