mag_x (uT),mag_y (uT),mag_z (uT)
3.253004696401797702e+01,-3.620893834480165996e+00,3.770204714326099094e+01
3.251243133139088570e+01,-3.614701429803974797e+00,3.769999404479180782e+01
3.251841508749841836e+01,-3.595556450782130486e+00,3.771219238195910606e+01
3.251027074467374689e+01,-3.629176209711007406e+00,3.770926996665595965e+01
3.253004492602546094e+01,-3.602185230955351258e+00,3.769741500513718080e+01
3.252445191332416385e+01,-3.600832093541221468e+00,3.769579038653780145e+01
3.250404953174933809e+01,-3.606536295090177813e+00,3.769452570516747869e+01
3.251461912604629845e+01,-3.624421501624952580e+00,3.769720657594927360e+01
3.250730623676857789e+01,-3.607807189239679246e+00,3.770699965264029174e+01
3.251318213675929059e+01,-3.585570651547937082e+00,3.770601410302804624e+01
3.252008239102450204e+01,-3.635964997943264887e+00,3.769260188879850659e+01
3.253173814530486396e+01,-3.609334592579177325e+00,3.769770786197664592e+01
3.252769264421356610e+01,-3.589177724289990046e+00,3.770389709350629914e+01
3.251248950908190238e+01,-3.602595773865719053e+00,3.768156589766068265e+01
3.250768991222800963e+01,-3.610178557117669662e+00,3.768798866005447223e+01
3.252918007328901240e+01,-3.626258920007674025e+00,3.769469182891337056e+01
3.251475635009585829e+01,-3.600357514835788031e+00,3.770933524777130685e+01
3.252184437873437872e+01,-3.616937976241480168e+00,3.768875712719427185e+01
3.251933341021820922e+01,-3.603634250456454247e+00,3.769365841998327227e+01
3.252840638086490088e+01,-3.604640327121763299e+00,3.769827065861670690e+01
3.252204024639398483e+01,-3.627221864381439786e+00,3.770983846106945947e+01
3.254286400931277257e+01,-3.600719006124239563e+00,3.770452006484406837e+01
3.251873939090544496e+01,-3.601385410920486141e+00,3.770039263143355157e+01
3.251451145507409990e+01,-3.610015785448949632e+00,3.769852558025007738e+01
3.249944770530382954e+01,-3.605585304376082156e+00,3.771305689920152560e+01
3.251842618650002947e+01,-3.610013237064095826e+00,3.770785753969526866e+01
3.252151043091048166e+01,-3.618349657192694302e+00,3.770861350650093158e+01
3.251535967425437690e+01,-3.617118418725325579e+00,3.771685926691687030e+01
3.252031957151196195e+01,-3.608529932523288242e+00,3.770688973072029881e+01
3.250765516168211633e+01,-3.599794315054487104e+00,3.770866301138567422e+01
3.252853445310780955e+01,-3.587010724735310241e+00,3.769724305873209858e+01
3.252709825643172792e+01,-3.589467011778456840e+00,3.770122701215723993e+01
3.251041155999920562e+01,-3.604722268095960303e+00,3.767914646494748609e+01
3.251223985253176352e+01,-3.603371333664163956e+00,3.770245311108650554e+01
3.251672922412583233e+01,-3.611300192261241992e+00,3.768286155544940641e+01
3.251177681829413046e+01,-3.602673365174405173e+00,3.770675954775444438e+01
3.251628684444489181e+01,-3.605849093810091333e+00,3.770937123418613623e+01
3.252047824526825082e+01,-3.602653173504220430e+00,3.769395466306797005e+01
3.250691699770277410e+01,-3.603107559487332523e+00,3.770034489430249636e+01
3.252101459041314513e+01,-3.607142927108606845e+00,3.769215699182410617e+01
3.252474614700886235e+01,-3.617307269489800081e+00,3.768996239307890050e+01
3.251993491767596112e+01,-3.602567689452256250e+00,3.769983804021623541e+01
3.251033291762545474e+01,-3.614932015907728502e+00,3.770612553465993955e+01
3.251865842197007339e+01,-3.611429251839367360e+00,3.769507764946009587e+01
3.251072205610817178e+01,-3.599907897814382363e+00,3.768641021131988822e+01
3.250280993799949414e+01,-3.611907300857479353e+00,3.770108030147681433e+01
3.252365565324153351e+01,-3.637201650618481441e+00,3.770501182860000000e+01
3.251719850557422831e+01,-3.603236313437533145e+00,3.769746066751101665e+01
3.250521299208259052e+01,-3.607467866026988990e+00,3.769725752084224268e+01
3.251232470514967332e+01,-3.603527836929180772e+00,3.770976022726394206e+01
3.251916060037173395e+01,-3.608760308292874530e+00,3.769438235207311294e+01
3.251320435331785319e+01,-3.604156929011388399e+00,3.771370603121939524e+01
3.252255630834089573e+01,-3.610247796582315871e+00,3.767488429325937460e+01
3.250073407911377643e+01,-3.604035286782383274e+00,3.769228039280307740e+01
3.252233736879689729e+01,-3.600891428207273925e+00,3.769756058728130199e+01
3.251808593593627705e+01,-3.615015976934663477e+00,3.770263863636239421e+01
3.253165356657103757e+01,-3.591435978210995028e+00,3.770681250928696926e+01
3.252153670837259369e+01,-3.621951307835072686e+00,3.769574562547385455e+01
3.250926310638043759e+01,-3.597733170141282688e+00,3.771657184371211713e+01
3.252674082534638700e+01,-3.587790318719537019e+00,3.770758777899033021e+01
3.252014644157726764e+01,-3.611200859348252301e+00,3.771263987387420968e+01
3.252241646760126059e+01,-3.628798287783881804e+00,3.770724295191931219e+01
3.251714922113670525e+01,-3.618685282249164192e+00,3.769702810010755201e+01
3.251682348275507195e+01,-3.612921641465313360e+00,3.769591731953865121e+01
3.252869108137088006e+01,-3.611537977846473346e+00,3.770555279197724730e+01
3.251749714947231951e+01,-3.600332830782394744e+00,3.772299361427828046e+01
3.251120431390668841e+01,-3.615527992594884665e+00,3.770352454156183342e+01
3.250244884305878657e+01,-3.619001287805932776e+00,3.770242878054272495e+01
3.251896323839398661e+01,-3.608146466146178621e+00,3.770495620782166668e+01
3.252395450777703445e+01,-3.597406008291776480e+00,3.772739943416037534e+01
3.252513549300812912e+01,-3.623347395008074567e+00,3.768743873579197867e+01
3.251313423285284188e+01,-3.611896681320195590e+00,3.773306959395711857e+01
3.251682827292341216e+01,-3.588801377372251356e+00,3.769722177622494286e+01
